Date,Open,High,Low,Close,Adj Close,Volume
2012-08-31,28.610001,28.84,28.200001,28.52,28.52,539800
2012-09-04,28.52,28.99,27.9,28.139999,28.139999,752500
2012-09-05,28.01,28.5,27.809999,27.940001,27.940001,639300
2012-09-06,28,28.9,27.9,28.549999,28.549999,841700
2012-09-07,28.549999,29.57,28.5,29.35,29.35,953200
2012-09-10,29.200001,29.35,27.299999,27.370001,27.370001,1483300
2012-09-11,27.76,28.16,27.4,27.799999,27.799999,1014900
2012-09-12,27.9,28.58,27.799999,28.280001,28.280001,1145200
2012-09-13,28.57,29.5,28.48,29.48,29.48,1484700
2012-09-14,30,30.65,29.65,30.389999,30.389999,1536600
2012-09-17,32.349998,32.779999,31.51,32.540001,32.540001,3212800
2012-09-18,31.879999,31.9,30.68,31.34,31.34,1788500
2012-09-19,31,31.74,30.940001,31.049999,31.049999,1048500
2012-09-20,30.93,31.5,30.68,30.9,30.9,912400
2012-09-21,31.1,31.49,29.540001,30.02,30.02,1870000
2012-09-24,29.51,31.030001,29.4,30.66,30.66,1301900
2012-09-25,28.620001,29.48,27.530001,27.66,27.66,5680400
2012-09-26,27.66,28.4,27.48,27.540001,27.540001,1527200
2012-09-27,27.82,28.540001,27.6,28.49,28.49,1758600
2012-09-28,28.73,29.889999,28.610001,29.280001,29.280001,4343400
2012-10-01,29.5,29.889999,29,29.16,29.16,884400
2012-10-02,29.280001,29.889999,29,29.799999,29.799999,729000
2012-10-03,29.75,29.950001,29.24,29.299999,29.299999,1052800
2012-10-04,30,30.1,28.65,29.4,29.4,1541300
2012-10-05,29.700001,29.809999,28.68,28.889999,28.889999,938600
2012-10-08,28.860001,29.4,28.610001,29.25,29.25,889700
2012-10-09,29.120001,29.120001,28.25,28.370001,28.370001,1193000
2012-10-10,28.389999,28.719999,28.01,28.4,28.4,503600
2012-10-11,28.940001,28.98,28.25,28.32,28.32,450600
2012-10-12,28.32,28.73,27.5,27.639999,27.639999,987600
2012-10-15,28.02,28.049999,26.860001,27.33,27.33,1468700
2012-10-16,27.67,28.09,27.34,28.059999,28.059999,479300
2012-10-17,28.25,28.84,27.799999,28.82,28.82,668000
2012-10-18,28.99,28.99,27.780001,28.040001,28.040001,741000
2012-10-19,27.83,28.200001,27.299999,27.74,27.74,1027400
2012-10-22,27.99,28,27.360001,27.85,27.85,470200
2012-10-23,27.379999,28.559999,27.370001,28.389999,28.389999,749000
