Date,High,Low,Open,Close,Volume,Adj Close
2017-06-01,44900.0,44400.0,44860.0,44680.0,9753500.0,11621.890625
2017-06-02,45960.0,45000.0,45060.0,45960.0,12488750.0,11954.8359375
2017-06-05,46360.0,45720.0,46040.0,45940.0,7599400.0,11949.6357421875
2017-06-07,46500.0,45240.0,46500.0,45300.0,13729400.0,11783.1630859375
2017-06-08,45580.0,45000.0,45000.0,45160.0,13978750.0,11746.74609375
2017-06-09,46440.0,45600.0,45680.0,46100.0,11732850.0,11991.25390625
2017-06-12,45600.0,45140.0,45420.0,45380.0,10954300.0,11803.9716796875
2017-06-13,45620.0,45140.0,45140.0,45400.0,8624900.0,11809.1728515625
2017-06-14,46060.0,45240.0,45800.0,45360.0,10166700.0,11798.7685546875
2017-06-15,45920.0,45180.0,45680.0,45680.0,9657000.0,11882.0048828125
2017-06-16,45940.0,45460.0,45500.0,45580.0,17403450.0,11855.9931640625
2017-06-19,46560.0,45560.0,45580.0,46560.0,11303900.0,12110.904296875
2017-06-20,48140.0,47220.0,47240.0,48140.0,15045000.0,12521.8857421875
2017-06-21,48120.0,47480.0,47740.0,47480.0,9973650.0,12350.2099609375
2017-06-22,48080.0,47720.0,47960.0,47960.0,11455800.0,12475.0654296875
2017-06-23,47780.0,47420.0,47600.0,47620.0,9515100.0,12386.6259765625
2017-06-26,48360.0,47520.0,47520.0,48280.0,8552800.0,12558.30078125
2017-06-27,48400.0,47900.0,48220.0,48300.0,9616750.0,12563.50390625
2017-06-28,48000.0,47560.0,47600.0,47700.0,9572500.0,12407.435546875
2017-06-29,48320.0,47940.0,48040.0,47940.0,8306550.0,14614.5556640625
2017-06-30,47620.0,47100.0,47500.0,47540.0,11877550.0,14492.615234375
2017-07-03,47780.0,47120.0,47500.0,47220.0,6805550.0,14395.0634765625
2017-07-04,47400.0,46900.0,47160.0,47000.0,7961000.0,14327.9951171875
2017-07-05,47680.0,46780.0,46820.0,47580.0,10640250.0,14504.8095703125
2017-07-06,48100.0,47720.0,48000.0,48060.0,10923050.0,14651.1376953125
2017-07-07,48120.0,47620.0,47740.0,47860.0,8131900.0,14590.16796875
2017-07-10,48900.0,48320.0,48500.0,48660.0,10792750.0,14834.048828125
2017-07-11,49000.0,48280.0,48640.0,49000.0,9717800.0,14937.6982421875
2017-07-12,50000.0,48840.0,49000.0,49880.0,9486150.0,15205.966796875
2017-07-13,50940.0,50040.0,50080.0,50560.0,16034150.0,15413.2666015625
2017-07-14,51080.0,50420.0,51000.0,50480.0,8239000.0,15388.87890625
2017-07-17,51020.0,50520.0,50900.0,50640.0,8976100.0,15437.654296875
2017-07-18,50880.0,50360.0,50420.0,50840.0,7084450.0,15498.625
2017-07-19,50820.0,50000.0,50620.0,50740.0,11157500.0,15468.138671875
2017-07-20,51320.0,50560.0,50760.0,51200.0,8367600.0,15608.37109375
2017-07-21,51160.0,50520.0,50860.0,51080.0,8449050.0,15571.7880859375
2017-07-24,51000.0,50620.0,50700.0,50860.0,7099750.0,15504.720703125
2017-07-25,50760.0,49940.0,50500.0,50000.0,10810600.0,15242.5498046875
2017-07-26,50020.0,49300.0,49600.0,49840.0,11224800.0,15193.7734375
2017-07-27,50640.0,49560.0,50000.0,49800.0,11449500.0,15181.5791015625
2017-07-28,49800.0,47380.0,49800.0,47760.0,26168300.0,14559.6826171875
2017-07-31,48240.0,46920.0,47420.0,48200.0,12701400.0,14693.8173828125
2017-08-01,48840.0,47540.0,48000.0,48600.0,11369500.0,14815.7578125
2017-08-02,49340.0,48600.0,49200.0,49000.0,7777450.0,14937.6982421875
2017-08-03,49000.0,47120.0,49000.0,47780.0,15540800.0,14565.7802734375
2017-08-04,48180.0,47500.0,48160.0,47700.0,8359200.0,14541.392578125
2017-08-07,48080.0,47440.0,47500.0,47580.0,7218250.0,14504.8095703125
2017-08-08,48260.0,47480.0,47980.0,47720.0,7979600.0,14547.48828125
2017-08-09,47400.0,46240.0,47400.0,46280.0,14555400.0,14108.50390625
2017-08-10,46320.0,45460.0,46200.0,45900.0,22986150.0,13992.66015625
2017-08-11,45300.0,44220.0,45120.0,44620.0,25407300.0,13602.451171875
2017-08-14,45400.0,44720.0,45120.0,45000.0,19185600.0,13718.2939453125
2017-08-16,46380.0,46000.0,46220.0,46200.0,21913650.0,14084.1142578125
2017-08-17,47300.0,46740.0,46960.0,47040.0,12415850.0,14340.189453125
2017-08-18,47240.0,46240.0,46760.0,46900.0,10477950.0,14297.51171875
2017-08-21,47240.0,46580.0,47240.0,46840.0,5103450.0,14279.2197265625
2017-08-22,47160.0,46700.0,46820.0,47000.0,7381750.0,14327.9951171875
2017-08-23,47780.0,47180.0,47780.0,47480.0,9384700.0,14474.3251953125
2017-08-24,47660.0,47340.0,47520.0,47520.0,8657450.0,14486.5185546875
2017-08-25,47880.0,46720.0,47880.0,47020.0,11243550.0,14334.09375
2017-08-28,47240.0,45960.0,47020.0,46100.0,9962100.0,14053.630859375
2017-08-29,46080.0,45160.0,45640.0,46080.0,12623650.0,14047.5322265625
2017-08-30,46400.0,45960.0,46380.0,46200.0,7513000.0,14084.1142578125
2017-08-31,46640.0,46000.0,46220.0,46320.0,11011700.0,14120.697265625
2017-09-01,46640.0,46300.0,46460.0,46480.0,10641700.0,14169.47265625
2017-09-04,46360.0,45500.0,45780.0,46040.0,7943500.0,14035.3388671875
2017-09-05,46900.0,45960.0,46240.0,46760.0,11716100.0,14254.83203125
2017-09-06,47180.0,46700.0,46760.0,47000.0,10811050.0,14327.9951171875
2017-09-07,48220.0,47000.0,47000.0,48120.0,9676500.0,14669.4296875
2017-09-08,49180.0,48580.0,48700.0,49080.0,10893000.0,14962.0859375
2017-09-11,50180.0,49500.0,49700.0,49800.0,10374750.0,15181.5791015625
2017-09-12,50220.0,49140.0,50200.0,49600.0,12029750.0,15120.609375
2017-09-13,50400.0,49440.0,49820.0,49620.0,9357000.0,15126.705078125
2017-09-14,50320.0,49760.0,50060.0,50300.0,14204750.0,15334.0048828125
2017-09-15,50560.0,49860.0,50300.0,50400.0,10757300.0,15364.490234375
2017-09-18,52480.0,50520.0,50540.0,52480.0,11524950.0,15998.580078125
2017-09-19,52640.0,51780.0,52500.0,52120.0,9850400.0,15888.833984375
2017-09-20,52500.0,51840.0,52120.0,52220.0,9292750.0,15919.3173828125
2017-09-21,52960.0,52220.0,52220.0,52800.0,8839800.0,16096.1318359375
2017-09-25,53680.0,53000.0,53000.0,53620.0,9303100.0,16346.109375
2017-09-26,53620.0,53620.0,53620.0,53620.0,0.0,16346.109375
2017-09-27,52200.0,51500.0,52000.0,51680.0,10797000.0,15754.69921875
2017-09-28,52460.0,51260.0,52260.0,51260.0,12025450.0,18074.88671875
2017-09-29,51620.0,50840.0,51180.0,51280.0,12909400.0,18081.9375
2017-10-10,53640.0,52800.0,53360.0,52800.0,20519800.0,18617.908203125
2017-10-11,54760.0,53340.0,53600.0,54640.0,13652150.0,19266.712890625
2017-10-12,55160.0,54100.0,54840.0,54800.0,13890700.0,19323.130859375
2017-10-13,54840.0,53780.0,54540.0,54000.0,12601650.0,19041.04296875
2017-10-16,54860.0,53760.0,53980.0,53920.0,9769950.0,19012.83203125
2017-10-17,55380.0,54000.0,54020.0,54800.0,10607800.0,19323.130859375
2017-10-18,55240.0,54040.0,54820.0,54760.0,10110750.0,19309.02734375
2017-10-19,54700.0,52980.0,54700.0,52980.0,12108700.0,18681.376953125
2017-10-20,54100.0,52800.0,52800.0,53840.0,8027050.0,18984.625
2017-10-23,54640.0,54000.0,54600.0,54300.0,8311050.0,19146.826171875
2017-10-24,54780.0,54040.0,54700.0,54040.0,5806050.0,19055.146484375
2017-10-25,54420.0,53700.0,54040.0,53900.0,5882850.0,19005.78125
2017-10-26,53900.0,52400.0,53720.0,52400.0,9776550.0,18476.86328125
2017-10-27,53320.0,52140.0,52400.0,53080.0,7392500.0,18716.638671875
2017-10-30,54320.0,53700.0,53780.0,54040.0,8196150.0,19055.146484375
2017-10-31,55440.0,53500.0,54060.0,55080.0,13381550.0,19421.86328125
2017-11-01,57500.0,56180.0,57500.0,57220.0,14510250.0,20176.453125
2017-11-02,57520.0,56760.0,57500.0,57060.0,10721050.0,20120.03515625
2017-11-03,57140.0,55860.0,57060.0,56380.0,9935800.0,19880.2578125
2017-11-06,56500.0,55340.0,56380.0,56380.0,9000950.0,19880.2578125
2017-11-07,56920.0,55860.0,56380.0,56100.0,7464550.0,19781.52734375
2017-11-08,57060.0,55860.0,56100.0,56760.0,8520200.0,20014.25
2017-11-09,56920.0,55900.0,56920.0,56340.0,11994050.0,19866.154296875
2017-11-10,56540.0,55780.0,55800.0,56400.0,6748800.0,19887.310546875
2017-11-13,56800.0,56100.0,56400.0,56380.0,8806650.0,19880.2578125
2017-11-14,56740.0,55920.0,56380.0,55920.0,6725000.0,19718.056640625
2017-11-15,56320.0,55320.0,55920.0,55340.0,8816950.0,19513.541015625
2017-11-16,56000.0,55400.0,55440.0,55780.0,7640700.0,19668.69140625
2017-11-17,56880.0,55820.0,56400.0,55820.0,10733150.0,19682.794921875
2017-11-20,55980.0,55200.0,55900.0,55200.0,9472750.0,19464.17578125
2017-11-21,55840.0,55280.0,55400.0,55280.0,10324700.0,19492.384765625
2017-11-22,56200.0,55620.0,55980.0,55960.0,7952950.0,19732.162109375
2017-11-23,55980.0,55020.0,55960.0,55300.0,6272900.0,19499.4375
2017-11-24,55500.0,55180.0,55300.0,55460.0,4536200.0,19555.85546875
2017-11-27,55360.0,52640.0,55360.0,52640.0,18128900.0,18561.490234375
2017-11-28,53280.0,51720.0,52700.0,53280.0,13499400.0,18787.162109375
2017-11-29,53240.0,52500.0,53200.0,52600.0,9590250.0,18547.384765625
2017-11-30,51860.0,50200.0,50800.0,50800.0,29634150.0,17912.68359375
2017-12-01,51780.0,50800.0,50800.0,50840.0,12868600.0,17926.7890625
2017-12-04,51340.0,50020.0,50840.0,51340.0,14865050.0,18103.09375
2017-12-05,51300.0,50280.0,50600.0,51260.0,9326550.0,18074.88671875
2017-12-06,51560.0,50020.0,51260.0,50020.0,10889200.0,17637.646484375
2017-12-07,50980.0,50020.0,50040.0,50740.0,11065600.0,17891.52734375
2017-12-08,52000.0,51040.0,51360.0,52000.0,11290450.0,18335.818359375
2017-12-11,52040.0,51500.0,52000.0,51780.0,8125850.0,18258.244140625
2017-12-12,52100.0,51660.0,51820.0,52100.0,8765050.0,18371.080078125
2017-12-13,52100.0,51100.0,52100.0,51320.0,11333700.0,18096.04296875
2017-12-14,52280.0,51060.0,51320.0,51060.0,20310400.0,18004.36328125
2017-12-15,51480.0,50520.0,51240.0,50620.0,14928550.0,17849.212890625
2017-12-18,51240.0,50620.0,50620.0,51200.0,7350250.0,18053.728515625
2017-12-19,52080.0,51520.0,51540.0,51560.0,11978600.0,18180.66796875
2017-12-21,51060.0,49100.0,51000.0,49140.0,15624300.0,17327.34765625
2017-12-22,49960.0,49240.0,49400.0,49700.0,11199650.0,17524.810546875
2017-12-26,50100.0,48200.0,49760.0,48200.0,16039850.0,16995.892578125
2017-12-27,49560.0,48460.0,48960.0,49360.0,10743600.0,31420.123046875
2017-12-28,50960.0,49500.0,49560.0,50960.0,8985450.0,32438.603515625
2018-01-02,51400.0,50780.0,51380.0,51020.0,8474250.0,32476.796875
2018-01-03,52560.0,51420.0,52540.0,51620.0,10013500.0,32858.7265625
2018-01-04,52180.0,50640.0,52120.0,51080.0,11695450.0,32514.990234375
2018-01-05,52120.0,51200.0,51300.0,52120.0,9481150.0,33177.00390625
2018-01-08,52520.0,51500.0,52400.0,52020.0,8383650.0,33113.34765625
2018-01-09,51720.0,49980.0,51460.0,50400.0,18013600.0,32082.134765625
