symbol,open,high,low,close,volume,adj close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
FB,20.75,21.17,20.610001,21.01,15610700,21.01,0.29000100000000373,28.056199799999998,1.0939765335693914,1402.26001,1405.949951,1398.800049,1402.800049,3119610000,1402.800049
FB,21.41,21.82,21.129998999999998,21.809998999999998,25794700,21.809998999999998,0.7999989999999961,27.90039978,0.8246119596516316,1402.579956,1405.97998,1395.619995,1405.869995,2767980000,1405.869995
FB,22.15,22.450001,21.4,21.6,24973100,21.6,-0.20999899999999627,27.777999800000003,0.5694381090166929,1405.869995,1405.869995,1397.319946,1404.109985,2499990000,1404.109985
FB,21.41,21.6,20.25,20.379998999999998,39308800,20.379998999999998,-1.2200010000000034,27.64759978,0.5783605446436579,1404.359985,1410.030029,1400.599976,1403.930054,2930900000,1403.930054
FB,20.639999,21.41,20.4,21.200001,47861100,21.200001,0.8200020000000023,27.554199779999998,0.5787477357196555,1403.890015,1407.72998,1401.829956,1405.530029,2655750000,1405.530029
FB,20.440001000000002,20.48,19.690001000000002,19.870001000000002,157565300,19.870001000000002,-1.3299999999999983,27.415399819999998,0.609799885864722,1405.569946,1417.439941,1404.150024,1415.51001,3114100000,1415.51001
FB,20.01,20.08,19.0,19.049999,129293400,19.049999,-0.8200020000000023,27.27019982,0.8501389150019424,1415.839966,1418.709961,1414.670044,1418.160034,2922990000,1418.160034
FB,19.049999,20.129998999999998,18.75,20.01,101186600,20.01,0.9600010000000019,27.12839982,0.7961915976702352,1417.849976,1418.130005,1412.119995,1418.130005,2766320000,1418.130005
FB,19.58,19.98,19.09,19.16,70640600,19.16,-0.8500000000000014,26.971399820000002,0.9094223520458653,1418.130005,1426.680054,1410.859985,1413.170044,3282950000,1413.170044
FB,19.360001,19.530001000000002,18.959999,19.440001000000002,49892200,19.440001000000002,0.28000100000000216,26.812199839999998,0.9556782167658082,1413.089966,1416.119995,1406.780029,1413.48999,3062690000,1413.48999
FB,19.5,19.73,19.360001,19.440001000000002,32813700,19.440001000000002,0.0,26.65559986,0.9637757533787449,1413.48999,1413.48999,1400.5,1402.079956,3008240000,1402.079956
FB,19.52,19.68,19.25,19.41,29622200,19.41,-0.030001000000002165,26.47799984,0.8200878743163098,1401.98999,1413.459961,1398.040039,1411.130005,2598790000,1411.130005
FB,19.49,19.530001000000002,19.1,19.15,20704000,19.15,-0.26000000000000156,26.26079984,0.6381294693090471,1411.130005,1416.170044,1409.109985,1410.439941,2472500000,1410.439941
FB,19.1,19.379998999999998,18.950001,19.34,25417000,19.34,0.19000000000000128,26.019399839999995,0.6044844214704774,1410.439941,1413.630005,1405.589966,1409.300049,2629090000,1409.300049
FB,19.32,19.379998999999998,19.07,19.1,16124700,19.1,-0.23999999999999844,25.76319983999999,0.30535418975421347,1409.319946,1413.949951,1406.569946,1410.48999,2571220000,1410.48999
FB,19.27,19.450001,19.059998999999998,19.09,30647500,19.09,-0.010000000000001563,25.512999839999992,0.2724134765395861,1410.079956,1410.079956,1397.01001,1399.47998,2530280000,1399.47998
FB,18.68,18.700001,18.030001000000002,18.059998999999998,58764200,18.059998999999998,-1.0300010000000022,25.237399819999997,0.46441395327916923,1400.069946,1413.089966,1398.959961,1406.579956,2938250000,1406.579956
FB,18.08,18.27,17.549999,17.73,46622400,17.73,-0.32999899999999727,24.930999839999995,0.5685915630752806,1406.540039,1409.310059,1396.560059,1404.939941,3200310000,1404.939941
FB,18.27,18.75,18.18,18.58,60781800,18.58,0.8499999999999979,24.661399819999993,0.578000326297825,1404.939941,1408.810059,1401.25,1403.439941,3389110000,1403.439941
FB,18.74,19.26,18.719998999999998,18.959999,46066500,18.959999,0.37999900000000153,24.378599839999993,0.5533934054543773,1403.73999,1432.119995,1403.73999,1432.119995,3952870000,1432.119995
FB,19.1,19.42,18.780001000000002,18.98,36371700,18.98,0.0200010000000006,24.113599839999992,0.5237557942402767,1432.119995,1437.920044,1431.449951,1437.920044,3717620000,1437.920044
FB,19.059998999999998,19.200001,18.549999,18.809998999999998,24797800,18.809998999999998,-0.17000100000000273,23.862599799999995,0.4881803990333023,1437.920044,1438.73999,1428.97998,1429.079956,3223670000,1429.079956
FB,18.92,19.58,18.85,19.43,50508200,19.43,0.620001000000002,23.629199799999995,0.5158450530928002,1429.130005,1437.76001,1429.130005,1433.560059,3509630000,1433.560059
FB,20.76,21.16,20.280001000000002,20.93,121584000,20.93,1.5,23.4323998,0.814126043190065,1433.560059,1439.150024,1432.98999,1436.560059,3641200000,1436.560059
FB,20.959999,21.48,20.610001,20.709999,65041600,20.709999,-0.2200009999999999,23.222599759999998,0.968976777018077,1436.560059,1463.76001,1435.339966,1459.98999,4606550000,1459.98999
FB,21.129998999999998,22.08,20.9,22.0,72819800,22.0,1.2900010000000002,23.03319978,1.2957350142680935,1460.069946,1474.51001,1460.069946,1465.77002,5041990000,1465.77002
FB,22.67,22.75,21.5,21.52,50667600,21.52,-0.4800000000000004,22.82899978,1.3475700957650776,1465.420044,1465.630005,1457.550049,1461.189941,3482430000,1461.189941
FB,21.6,21.98,21.370001000000002,21.870001000000002,36760500,21.870001000000002,0.35000100000000245,22.62299984,1.2936497785724093,1461.189941,1461.469971,1456.130005,1459.319946,3377390000,1459.319946
FB,21.99,23.370001000000002,21.77,23.290001,78782800,23.290001,1.4199999999999982,22.45939988,1.471000158395833,1459.5,1465.150024,1457.880005,1461.050049,3451360000,1461.050049
